,job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,remote_ratio_numeric,difference_application_post_dates
0,AI00001,AI Research Scientist,90376,USD,Senior-Level ,Contract,China,Medium,China,50,"Tableau, PyTorch, Kubernetes, Linux, NLP",Bachelor,9,Automotive,2024-10-18,2024-11-07,1076,5.9,Smart Analytics,Hybrid,20
1,AI00002,AI Software Engineer,61895,USD,Entry-Level,Contract,Canada,Medium,Ireland,100,"Deep Learning, AWS, Mathematics, Python, Docker",Master,1,Media,2024-11-20,2025-01-11,1268,5.2,TechCorp Inc,Remote,52
2,AI00003,AI Specialist,152626,USD,Mid-Level,Freelance,Switzerland,Large,South Korea,0,"Kubernetes, Deep Learning, Java, Hadoop, NLP",Associate,2,Education,2025-03-18,2025-04-07,1974,9.4,Autonomous Tech,On-site,20
3,AI00004,NLP Engineer,80215,USD,Senior-Level ,Freelance,India,Medium,India,50,"Scala, SQL, Linux, Python",PhD,7,Consulting,2024-12-23,2025-02-24,1345,8.6,Future Systems,Hybrid,63
4,AI00005,AI Consultant,54624,EUR,Entry-Level,Part-Time,France,Small,Singapore,100,"MLOps, Java, Tableau, Python",Master,0,Media,2025-04-15,2025-06-23,1989,6.6,Advanced Robotics,Remote,69
5,AI00006,AI Architect,123574,EUR,Senior-Level ,Contract,Germany,Medium,Germany,50,"Data Visualization, R, SQL, Linux",Associate,7,Healthcare,2024-08-31,2024-10-04,819,5.9,Neural Networks Co,Hybrid,34
6,AI00007,Principal Data Scientist,79670,GBP,Mid-Level,Freelance,United Kingdom,Small,United Kingdom,0,"R, Docker, MLOps",Associate,3,Gaming,2024-12-29,2025-02-28,1936,6.3,DataVision Ltd,On-site,61
7,AI00008,NLP Engineer,70640,EUR,Entry-Level,Freelance,France,Large,France,0,"Python, SQL, Computer Vision, Java, Azure",Master,0,Healthcare,2024-06-07,2024-07-01,1286,7.6,Cloud AI Solutions,On-site,24
8,AI00009,Data Analyst,160710,USD,Senior-Level ,Contract,Singapore,Large,Singapore,0,"Hadoop, Git, Mathematics, Python",PhD,7,Government,2024-11-04,2024-11-24,551,9.3,Quantum Computing Inc,On-site,20
9,AI00010,AI Software Engineer,102557,USD,Senior-Level ,Part-Time,Austria,Medium,Austria,0,"MLOps, GCP, Scala, Azure, Linux",Master,5,Government,2024-10-20,2024-11-06,2340,5.8,Cloud AI Solutions,On-site,17
10,AI00011,Autonomous Systems Engineer,102322,USD,Senior-Level ,Part-Time,Sweden,Medium,Sweden,100,"MLOps, Python, SQL",Associate,8,Telecommunications,2025-01-29,2025-03-05,1047,9.9,Smart Analytics,Remote,35
11,AI00012,AI Architect,115047,USD,Executive-level,Contract,South Korea,Small,South Korea,0,"R, Data Visualization, Python, Azure",Master,15,Manufacturing,2024-07-16,2024-08-19,513,6.8,TechCorp Inc,On-site,34
12,AI00013,AI Consultant,124355,EUR,Senior-Level ,Contract,France,Medium,France,100,"Tableau, Python, TensorFlow",PhD,5,Automotive,2024-12-29,2025-01-27,760,5.2,Predictive Systems,Remote,29
13,AI00014,Autonomous Systems Engineer,68760,USD,Entry-Level,Contract,Norway,Small,Norway,0,"Scala, SQL, Statistics",Master,0,Energy,2024-02-11,2024-02-25,1657,9.1,Cloud AI Solutions,On-site,14
14,AI00015,AI Research Scientist,150122,USD,Senior-Level ,Full-Time,Sweden,Medium,Sweden,100,"PyTorch, Python, Data Visualization, GCP",Associate,6,Technology,2024-10-02,2024-11-26,1466,9.8,Advanced Robotics,Remote,55
15,AI00016,AI Product Manager,78846,GBP,Entry-Level,Part-Time,United Kingdom,Large,Israel,0,"Linux, Statistics, Deep Learning",PhD,0,Consulting,2024-09-28,2024-10-26,2059,9.6,DataVision Ltd,On-site,28
16,AI00017,Principal Data Scientist,59823,USD,Entry-Level,Full-Time,India,Large,India,100,"Tableau, NLP, Spark",Bachelor,1,Real Estate,2025-02-06,2025-03-26,1200,5.8,Predictive Systems,Remote,48
17,AI00018,Machine Learning Engineer,181139,EUR,Executive-level,Contract,France,Large,France,100,"MLOps, PyTorch, Azure",Associate,15,Real Estate,2024-04-24,2024-06-03,2142,8.7,AI Innovations,Remote,40
18,AI00019,Data Engineer,155300,USD,Senior-Level ,Contract,Singapore,Medium,Singapore,0,"Git, Hadoop, R, Python, Spark",Associate,9,Finance,2024-04-30,2024-05-29,589,8.6,Algorithmic Solutions,On-site,29
19,AI00020,Research Scientist,93851,EUR,Mid-Level,Part-Time,Netherlands,Large,Germany,100,"Java, Scala, NLP, Docker, Computer Vision",PhD,4,Transportation,2024-05-01,2024-07-02,1809,6.7,AI Innovations,Remote,62
