,match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_innings_score,first_innings_wickets,second_innings_score,second_innings_wickets,match_result,match_winner,wide ball runs,wide wickets,balls_left,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,best_bowling_wickets1,best_bowling_runs,toss_win_match_win
0,1,2025-03-22,"Eden Gardens, Kolkata",KKR,RCB,League,RCB,Bowl,174.0,8.0,177.0,3.0,completed,RCB,25.0,7.0,22.0,Krunal Pandya,Virat Kohli,59.0,Krunal Pandya,3--29,3,29,True
1,2,2025-03-23,"Rajiv Gandhi International Stadium, Hyderabad",SRH,RR,League,RR,Bowl,286.0,6.0,242.0,6.0,completed,SRH,44.0,7.0,0.0,Ishan Kishan,Ishan Kishan,106.0,Tushar Deshpande,3--44,3,44,False
2,3,2025-03-23,"MA Chidambaram Stadium, Chennai",CSK,MI,League,CSK,Bowl,155.0,9.0,158.0,6.0,completed,CSK,25.0,4.0,5.0,Noor Ahmad,Rachin Ravindra,65.0,Noor Ahmad,4--18,4,18,True
3,4,2025-03-24,"ACA-VDCA Cricket Stadium, Vishakhapatnam",DC,LSG,League,DC,Bowl,209.0,8.0,211.0,9.0,completed,DC,25.0,1.0,3.0,Ashutosh Sharma,Nicholas Pooran,75.0,Mitchell Starc,3--42,3,42,True
4,5,2025-03-25,"Narendra Modi Stadium, Ahmedabad",GT,PBKS,League,GT,Bowl,243.0,5.0,232.0,5.0,completed,PBKS,11.0,7.0,0.0,Shreyas Iyer,Shreyas Iyer,97.0,Sai Kishore,3--30,3,30,False
5,6,2025-03-26,"Barsapara Stadium, Guwahati",RR,KKR,League,KKR,Bowl,151.0,9.0,153.0,2.0,completed,KKR,25.0,8.0,15.0,Quinton de Kock,Quinton de Kock,97.0,Varun Chakravarthy,2--17,2,17,True
6,7,2025-03-27,"Rajiv Gandhi International Stadium, Hyderabad",SRH,LSG,League,LSG,Bowl,190.0,9.0,193.0,5.0,completed,LSG,25.0,5.0,23.0,Shardul Thakur,Nicholas Pooran,70.0,Shardul Thakur,4--34,4,34,True
7,8,2025-03-28,"MA Chidambaram Stadium, Chennai",CSK,RCB,League,CSK,Bowl,196.0,7.0,146.0,8.0,completed,RCB,50.0,7.0,0.0,Rajat Patidar,Rajat Patidar,51.0,Josh Hazlewood,3--21,3,21,False
8,9,2025-03-29,"Narendra Modi Stadium, Ahmedabad",GT,MI,League,MI,Bowl,196.0,8.0,160.0,6.0,completed,GT,36.0,7.0,0.0,Prasidh Krishna,Sai Sudarshan,63.0,Prasidh Krishna,2--18,2,18,False
9,10,2025-03-30,"ACA-VDCA Cricket Stadium, Vishakhapatnam",DC,SRH,League,SRH,Bat,163.0,10.0,166.0,3.0,completed,DC,25.0,7.0,24.0,Mitchell Starc,Aniket Verma,74.0,Mitchell Starc,5--35,5,35,False
